Country Name,Country Code,"GDP per capita, PPP (constant 2011 international $)",CO2 emissions (kt),CO2 emissions (metric tons per capita),"Population, total"
Afghanistan,AFG,..,1268.782,0.072146977,17586073
Albania,ALB,3940.76214,2086.523,0.654537133,3187784
Algeria,DZA,9168.36559,94692.941,3.230136294,29315463
American Samoa,ASM,..,..,..,52874
Andorra,ADO,..,407.037,6.374494942,63854
Angola,AGO,2859.026308,11012.001,0.909710423,12104952
Antigua and Barbuda,ATG,17167.17532,322.696,4.721298044,68349
Argentina,ARG,..,122547.473,3.518125971,34833168
Armenia,ARM,2169.431028,3490.984,1.083089242,3223173
Aruba,ABW,..,1782.162,22.18661455,80326
Australia,AUS,30358.88651,307433.946,17.0116172,18072000
Austria,AUT,33698.83025,61730.278,7.766497095,7948278
Azerbaijan,AZE,3319.767349,33479.71,4.356500976,7685000
"Bahamas, The",BHS,22134.84673,1683.153,6.010187467,280050
Bahrain,BHR,43243.82823,16021.123,28.4198517,563730
Bangladesh,BGD,1375.670462,22816.074,0.190340811,119869585
Barbados,BRB,12618.8635,828.742,3.149134573,263165
Belarus,BLR,5275.431478,62118.98,6.093680596,10194000
Belgium,BEL,32808.40669,112976.603,11.14518195,10136811
Belize,BLZ,6208.579978,377.701,1.824977532,206962
Benin,BEN,1398.095822,1327.454,0.221772443,5985658
Bermuda,BMU,41999.25946,465.709,7.794814716,59746
Bhutan,BTN,2929.794214,249.356,0.489792872,509105
Bolivia,BOL,4067.95666,9424.19,1.234282016,7635362
Bosnia and Herzegovina,BIH,1975.633948,3428.645,0.973771342,3520996
Botswana,BWA,8843.710609,3523.987,2.225507798,1583453
Brazil,BRA,10748.30817,258347.484,1.595813094,161890816
Brunei Darussalam,BRN,78405.74322,5515.168,18.69529462,295003
Bulgaria,BGR,8479.245071,58004.606,6.900326395,8406067
Burkina Faso,BFA,883.4383439,627.057,0.062147146,10089876
Burundi,BDI,835.0902171,333.697,0.053736093,6209923
Cabo Verde,CPV,2360.503095,113.677,0.284564568,399477
Cambodia,KHM,1091.076712,1551.141,0.14403496,10769198
Cameroon,CMR,2187.79459,4363.73,0.313270864,13929575
Canada,CAN,32053.96186,459790.462,15.6636391,29354000
Cayman Islands,CYM,..,366.7,11.57805001,31672
Central African Republic,CAF,727.9830611,234.688,0.071645254,3275695
Chad,TCD,1043.953878,102.676,0.014709289,6980351
Channel Islands,CHI,..,..,..,144050
Chile,CHL,12767.1132,42456.526,2.940181659,14440103
China,CHN,2499.982714,3320285.15,2.755754966,1204855000
Colombia,COL,8643.242016,59614.419,1.629971842,36573895
Comoros,COM,1416.455607,80.674,0.173159188,465895
"Congo, Dem. Rep.",ZAR,784.1088493,2966.603,0.070612349,42012524
"Congo, Rep.",COG,4714.523604,1565.809,0.575531136,2720633
Costa Rica,CRI,8495.125955,4866.109,1.399032027,3478197
Cote d'Ivoire,CIV,2964.328118,7132.315,0.501659934,14217430
Croatia,HRV,12543.37757,17612.601,3.772242664,4669000
Cuba,CUB,9102.061795,25657.999,2.347051636,10932013
Curacao,CUW,..,..,..,..
Cyprus,CYP,24662.8541,5551.838,6.490424824,855389
Czech Republic,CZE,18994.0111,125052.034,12.10893487,10327253
Denmark,DNK,36237.60799,55140.679,10.53635562,5233373
Djibouti,DJI,2315.066669,429.039,0.646144045,663999
Dominica,DMA,7147.733768,80.674,1.130410414,71367
Dominican Republic,DOM,6193.984024,16105.464,2.018743123,7977966
Ecuador,ECU,7811.391314,22812.407,2.015978278,11315800
"Egypt, Arab Rep.",EGY,6556.522327,95723.368,1.564915425,61168397
El Salvador,SLV,5588.51395,5280.48,0.918661805,5748013
